user	date	time	text
NatetheWatcher	5/2/2013	11:18 PM	"


Re: The way forward: Positive White Nationalism




Our political arm is positive when it has to be. We encourage people to fight the enemy who wants to destroy our existence and upend our lives. Our paramilitary is there to intimidate our enemy, protect and defend our members and other whites as well as observe the enemy to plan and gain the upperhand. Much like Sun Tzu's Art Of War.The Aryan Volunteer Guard will at first be modeled after the Guardian Angels. We also are positive in that like Golden Dawn we will have a Social Solidarity Program to help get food, medicine and clothing to whites in need and offer whites and white business owners protection in exchange for donations and support at the polls.
Quote:


Originally Posted by Unlearn


There is nothing soft about what I am espousing here. If we have white unity, we win. We get white unity by moving toward what is positive about our race. Your fighting instinct is admirable, now channel it into a victorious future. Organize, build, move forward.







"
Unlearn	5/2/2013	11:36 PM	"


Re: The way forward: Positive White Nationalism




Quote:


Originally Posted by NatetheWatcher


 The Aryan Volunteer Guard will at first be modeled after the Guardian Angels. We also are positive in that like Golden Dawn we will have a Social Solidarity Program to help get food, medicine and clothing to whites in need and offer whites and white business owners protection in exchange for donations and support at the polls.


Sounds like some good, community action. Keep it up! 



__________________
""I have pointed out before that multiculturalism cannot exist, except as several cultures living side by side in defined territories, where the laws of one culture do not apply in the territories of the others."" - Paul Belien of The Brussels Journal
""His true forefathers, the Gods, his true country, he never would have abandoned; nor would he have yielded to any man in obedience and submission"" - Epictetus
Never forget. http://en.wikipedia.org/wiki/1804_Haiti_Massacre


"
CountryBoy88	5/2/2013	11:38 PM	"


Re: The way forward: Positive White Nationalism


When you take a look at some of the successful movements overseas, like the Golden Dawn in Greece, they're doing food drives and stuff for the poor, and actually going out and helping people in other ways as well. And making a presence in public while doing it. I don't see people in the WN movement in the USA doing that in any kind of organized effort.
As far as negativity goes, it might work if WNs owned the media instead of Jews, but we don't have the clout to reach that broad of an audience without an incredibly hostile Jew media spreading lies and working contrary to any message we could put out to the masses.


"
NatetheWatcher	5/2/2013	11:40 PM	"


Re: The way forward: Positive White Nationalism


Were trying to change that. You need a group with 3 functions:
Political- winning local then state then higher offices legally.
Paramilitary- Protection and defense of white citizens.
Social Solidarity- Like Golden Dawn. Food, Medicine. Blood drives. Protection


"
justoneguy	5/2/2013	11:51 PM	"


Re: The way forward: Positive White Nationalism




Quote:


Originally Posted by NatetheWatcher


Were trying to change that. You need a group with 3 functions:
Political- winning local then state then higher offices legally.
Paramilitary- Protection and defense of white citizens.
Social Solidarity- Like Golden Dawn. Food, Medicine. Blood drives. Protection


Agreed
I would personally add a 4th group who are dedicated to restoring positive European culture in film, art, music, etc. since I believe above all that our enemies have used those outlets to a ridiculously successful degree to brainwash and corrupt the minds of today.
I would definitely be willing to help out with this in any way I can. I'm unemployed at the moment but I believe organized spreading of our ideas and aims on the web is most effective in this day and age.


"
NatetheWatcher	5/4/2013	12:48 AM	"


Re: The way forward: Positive White Nationalism




Quote:


Originally Posted by justoneguy


Agreed
I would personally add a 4th group who are dedicated to restoring positive European culture in film, art, music, etc. since I believe above all that our enemies have used those outlets to a ridiculously successful degree to brainwash and corrupt the minds of today.
I would definitely be willing to help out with this in any way I can. I'm unemployed at the moment but I believe organized spreading of our ideas and aims on the web is most effective in this day and age.


 
Cool. you can get ahold of me through my email [email protected]
Once I get an email from you Ill give you my number. We will be starting an internet radio program and a conference call system in the next few weeks. I am also looking for state organizers.


"
Nobody	5/4/2013	3:39 AM	"


Re: The way forward: Positive White Nationalism




Quote:


Originally Posted by Unlearn


*Mods to please sticky this if possible*The way forward: Positive White Nationalism
The goal of this post is to create a cohesive strategy for awakening our people and eventually generating a modern European cultural renaissance. It is less of a nuts-and-bolts solution, and is more of an over-arching philosophy and lifestyle, an ethos for white nationalists to follow which will allow solutions to occur and to move us forward towards the results that we want. 
These ideas aren't necessarily things that I invented. I am attempting to synthesize, for your benefit, many ideas from national philosophy, psychology, marketing, and elsewhere into a set of ideals that I know will work if we can hold ourselves to them. I'm calling it ""Positive White Nationalism"" for lack of a better term at the moment. So what is PWN and what are the core ideas that make it work? Lets explore...:-Concentrate on Solutions, Not Problems 
It has been proven that people will subconsciously move toward what they concentrate on. If that happens to be what they don't want, then they will move in that direction whether they like it or not. I remember back when I was a teen, my driving instructor told us ""not to look at big trucks beside you on the highway; you'll steer right into them."" It's a nice metaphor for many things in life. Whatever you feed in your life with your attention, that is what your mind will go to work on. If we can steer ourselves towards the solutions, and not the problems, then that will at least get us pointed in the right direction. 
Speaking to many of you, I can tell that you are depressed. It seems that so many in our society are... and no wonder: so much of our society is grim. Hearing something bad or hearing about a problem creates a sensation of anger. Anger, when not acted upon, leads to feelings of frustration. This can be especially acute in men. Frustration, when built up enough, leads to feelings of futility, helplessness, and powerlessness, which is essentially ""depression"". To prevent this, you can either channel your feelings of anger into activity, or you can dial back the input of negative information. I'm proposing that people do both. By concentrating on the solutions, you focus your attention away from negative input, while at the same time encouraging you to act in a way that alleviates your anger in a constructive manner.-Reframe the Negative and Find the Positive 
On the surface this feels like such a juvenile thing. There is so much negative. We are truly facing the extinction of what most of us hold most dear. It feels overwhelming. Crushing. To ""pretend"" to be positive sounds ridiculous. I'm not talking about pretending. It may feel that way slightly at first. I'm talking about truly making the effort to find the positive in situations. It's always there. I can promise you that. Let me give you an example: say you read an article about a film and it's very anti-white. Instead of concentrating on that and talking about it, look for a film that isn't anti-white or even has pro-white messages. They do exist. The Invasion (2007) was packed full of underlying messages that support our views (which is why critics hated it!). 
I'm not condoning ignorance here, I'm saying that we can't get anywhere if we focus on the negative. Negative thoughts can be highly addictive. They will also destroy you and poison your life. Acknowledge the problems, but don't feed them. Push forward. 
The other benefit to this is that it makes our movement (and you as an individual) 1000 times more attractive to outsiders. You simply cannot attract people with a negative movement. Even in Germany, it wasn't the anti-Semitic rhetoric that got the German people on board, it was the hope, the positive message of unification and prosperity in the face of a destitute and broken future for the working class. We know that things are bad. Lets aim toward a future that works instead of wasting our energies on a past that we cannot change. I realize that at times it can be hard to enjoy your life because it seems like ""what's the point if it's all going out the window"". We all need to find ways to enjoy our lives though, and pull our thinking out of the venomous death spiral.-Lift your Own Race Up, Don't Push Others Down
If we want to spin our wheels trying to disparage other races while our own gets wiped off the map, then I say we deserve to die. It is futile and idiotic. We need to be helping out our own people, not doing petty sniping at others. Don't waste your energies on them. Let them do their own thing. They don't concern us. We concern us. Try doing real-world activities to help your white community. Be prepared to fight, but put your efforts into things that actually help in the present. Add value to your community, instead of take from it. Make money so you can support causes. Be an example of what is good so others can follow it. Find locals that are in need and organize a function to tackle that need. Celebrate what is good and amazing about our own culture instead of trying to point out what is bad about other cultures. That is attractive to people. That makes people want to experience and value the things that we value about our race. The only way we're going to create enough unity among our people to overcome the massive challenges ahead of us is to make them care about who they are. The only way we're going to do that is by showing and demonstrating all of the good qualities of our race. Bringing down someone else might make you feel good temporarily, but it makes you look bad and it undermines your message. Be the best that you can be in your life. You represent us!-Actions, Not Words
Whenever you can, force yourself to take an action, rather than make a rant or post something. It might sound weird, but say, upon hearing something that especially makes you sad and angry about race... maybe about a child getting hurt: instead of just wallowing in that, force yourself to do something. I don't mean seek out the guy that hurt the child and gun him down, I mean something constructive. 
Maybe your neighbor has a child that likes motorcycles. Invite your neighbor and his kid over and let the child help you fix yours while his dad and you drink a beer. I don't know. Something. Anything. Any positive action towards another white person is better than thoughts or futile posts against another non-white. 
Do it right away though. Don't give your anger time to settle inside you. Let it force you to act. We are designed to act! We are biological machines of action. Spend some time in the PLE posts and see that action speaks louder than words. You will feel so much better, your race will thank you, and the world will look upon us in a better light.
I realize that alot of this feels a little alien and perhaps cheesy. I myself, am a fighter by instinct, and alot of this goes against what I am ingrained to think, but in a sense, this IS fighting. It's fighting against the void that is threatening to swallow us up. 
Roll up your sleeves and take the 3 week PWN challenge: What is the 3 week PWN challenge you ask?... 
I challenge all stormfronters, including myself, to not post a single negative post for 3 weeks. Challenge yourself to find the positive. Challenge yourself to find a solution. Ask yourself, are you content to stew in a present where we are a doomed people, or are you willing to make the effort to at least try to move us in a different direction? You have nothing to lose. In the words of Jerry Maguire: ""Who's coming with me?"" 


This is a great post, I wish I had the time to translate it in Dutch. 
Indeed we need more uplifting thoughts like that instead of only negative ones.


"
celticvikingaust	5/4/2013	4:21 AM	"


Re: The way forward: Positive White Nationalism


Thank you for this excellent thread!


"
Unlearn	5/4/2013	8:13 PM	"


Re: The way forward: Positive White Nationalism




Quote:


Originally Posted by Vidar


This is a great post, I wish I had the time to translate it in Dutch. 
Indeed we need more uplifting thoughts like that instead of only negative ones.


Take the PWN 3 week challenge and post some positive articles/reports!


"
Ruski77	5/4/2013	11:16 PM	"


Re: The way forward: Positive White Nationalism


(i apologize for sloppy typing)
This is the ONLY way to accomplish our goals! Look at every other political party to take power, esp the nazi's and the communists. They boosted themselves first, above all, then, and only then did they worry about trash talking the opposition. 
If we keep bashing the blacks and jews , everyone that might join wont for fear of the socail stigma, and we sound like bitter people. 
White kids act black because the media is constantly telling them how cool it is and how good it feels to be black. We need to do the exact same thing and make it cool to be white. Once its established that being white is a great thing, then we start showing the faults of the enemies. just my 2cents.


"
Unlearn	5/5/2013	9:11 PM	"


Re: The way forward: Positive White Nationalism






Quote:


Originally Posted by Ruski77


(i apologize for sloppy typing)
This is the ONLY way to accomplish our goals! Look at every other political party to take power, esp the nazi's and the communists. They boosted themselves first, above all, then, and only then did they worry about trash talking the opposition. 
If we keep bashing the blacks and jews , everyone that might join wont for fear of the socail stigma, and we sound like bitter people. 
White kids act black because the media is constantly telling them how cool it is and how good it feels to be black. We need to do the exact same thing and make it cool to be white. Once its established that being white is a great thing, then we start showing the faults of the enemies. just my 2cents.


Excellent points.




"
NatetheWatcher	5/5/2013	10:58 PM	"


Re: The way forward: Positive White Nationalism


It's why we need to build a Social Solidarity program. Like Golden Dawn it will attract members, supports and funds in droves. It opens doors when you protect, defend and support the people!


"
Xanthochroi 2010	5/5/2013	11:08 PM	"


Re: The way forward: Positive White Nationalism




Quote:


Originally Posted by NatetheWatcher


It's why we need to build a Social Solidarity program. Like Golden Dawn it will attract members, supports and funds in droves. It opens doors when you protect, defend and support the people!




"
MoonSpirit	5/7/2013	10:03 PM	"


Re: The way forward: Positive White Nationalism


Lift your Own Race Up, Don't Push Others Down
I absolutely agree with this.


"
NatetheWatcher	5/8/2013	10:15 PM	"


Re: The way forward: Positive White Nationalism


Social Solidarity lifts your race up!
So does offering protection and security for them!
Winning hearts and minds will help us be triumphant in the struggle!


"
Kingsrook	5/10/2013	10:22 AM	"


Re: The way forward: Positive White Nationalism




Quote:


Originally Posted by NatetheWatcher


Going soft is not the way! NO! WE GO HARD! THIS IS WAR! WAR IS DIRTYAND NASTY!Somehow when we are victorious I believe we will see the soft people who pleaded for us to be nice will ride our coattails and that also cannot stand. Youre either with us or against us! The time is now... 


I'm sorry Nate, but that type of mentality, very common in our movement simply doesn't work. It has never worked, and it never will work. Period.
You speak of fighting a war, so did Unlearn. You want to take to the streets? Fight it out in a blaze of glory and gunpowder? Yes, we should all be prepared to fight, but that should not be the only, or the first option. I would say it bothters me, but really it saddens me, because that mindset is a mindset of preemptive defeat.
Battles today, the important ones, are not won with steel and lead. They are won in ballot boxes, bank accounts, and most importantly in the hearts of the people we are trying to reach and help, which is OUR white race.
Unlearn, you have made a wonderful post, this is exactly the mindset we need more of. This is the mindset of a victor, one who wins not by vanquishing a foe, the large majority of who have done nothing wrong, but one who wins by helping a friend, uplifting his people, not seeking to harm others.


"
NatetheWatcher	5/10/2013	10:47 AM	"


Re: The way forward: Positive White Nationalism


It's why Golden Dawn has been so successful. They battle in the streets but also at the ballot box, with social solidarity etc. I think you should open your mind more and give us a fighting chance.
Quote:


Originally Posted by Kingsrook


I'm sorry Nate, but that type of mentality, very common in our movement simply doesn't work. It has never worked, and it never will work. Period.
You speak of fighting a war, so did Unlearn. You want to take to the streets? Fight it out in a blaze of glory and gunpowder? Yes, we should all be prepared to fight, but that should not be the only, or the first option. I would say it bothters me, but really it saddens me, because that mindset is a mindset of preemptive defeat.
Battles today, the important ones, are not won with steel and lead. They are won in ballot boxes, bank accounts, and most importantly in the hearts of the people we are trying to reach and help, which is OUR white race.
Unlearn, you have made a wonderful post, this is exactly the mindset we need more of. This is the mindset of a victor, one who wins not by vanquishing a foe, the large majority of who have done nothing wrong, but one who wins by helping a friend, uplifting his people, not seeking to harm others.





"
Kingsrook	5/10/2013	11:16 AM	"


Re: The way forward: Positive White Nationalism




Quote:


Originally Posted by NatetheWatcher


It's why Golden Dawn has been so successful. They battle in the streets but also at the ballot box, with social solidarity etc. I think you should open your mind more and give us a fighting chance.



Indeed, I read a post of yours on another thread that I thought was really good, I understand I can come across like a pompous dickhead at times, so forgive me for that. You had made a post about social solidarity and sticking together as white people and I thought it was great.
I guess to me, I would like to see all violent rhetoric removed, but that wouldn't be fair. I see , in my mind, a victory for white people, but I pray that it never requires taking up arms. I see us helping each other out, educating those who do not know, and strategically taking control of business, government and media.
I will say, that I will at least try to open my mind more.


"
Phoenix	5/10/2013	11:40 AM	"


Re: The way forward: Positive White Nationalism




Quote:


Originally Posted by Kingsrook


 They are won in ballot boxes, bank accounts, and most importantly in the hearts of the people we are trying to reach and help, which is OUR white race.


NOTHING can be won at the ballot box anymore in the US. Move on. Bank accounts? They can be wiped out with the click of a mouse at the discretion of the ""authorities.""
Land. Occupied territory. That is REAL power. Give our people something they have a tangible as well as emotional connection to. Something that will support them when all else fails. Something to defend.
Quote:


Originally Posted by NatetheWatcher


It's why Golden Dawn has been so successful.


GD is successful because the Greek people KNOW WHO THEY ARE, and are fiercely proud of it. They have a deep sense of ethnic identity that has been lost in most of the rest of the western world. They fight for Hellas because they ARE Hellas. I am an American and only half-Greek, but I feel the same sense of pride. Something most ""Americans"" no longer understand.
But the OP is correct. A positive, proactive approach is best. We need to stop worrying so much about what our opponents think and do, and start concentrating on what's in OUR BEST INTEREST.
Let them worry about us for a change.




__________________How to start your own nation from scratch.This is how we win
To all those members who have their visitor pages closed, I say, ""Thanks for the rep!"" I genuinely appreciate the support. The best way to predict the future is to create it.The rot is deep.Meine Ehre Heißt Treue  





Last edited by Phoenix; 05-10-2013 at 12:55 PM.



"
Angelus Silesius	5/10/2013	9:34 PM	"


Re: The way forward: Positive White Nationalism




Quote:


Originally Posted by Kingsrook


Battles today, the important ones, are not won with steel and lead. They are won in ballot boxes, bank accounts, and most importantly in the hearts of the people we are trying to reach and help, which is OUR white race.
Unlearn, you have made a wonderful post, this is exactly the mindset we need more of. This is the mindset of a victor, one who wins not by vanquishing a foe, the large majority of who have done nothing wrong, but one who wins by helping a friend, uplifting his people, not seeking to harm others.


Hats off to ya.


"
celticvikingaust	5/11/2013	12:01 AM	"


Re: The way forward: Positive White Nationalism




A powerful theme to emerge from this thread is the need for Whites to feel a sense of social solidarity. This is exactly what is lacking for us in our present societies; we no longer belong and are at the mercy of those who are calling the shots.
One of the reasons I am here (Apart from believing strongly in White Nationalism) is to find fellow travellers; I want to find the community to which I and my family belong. The social solidarity spoken about here is what has the potential to bring people along; bring them out into the open to stand with their brothers and sisters.
Excellent discussion!




"
NatetheWatcher	5/12/2013	1:36 PM	"


Re: The way forward: Positive White Nationalism


Social Solidarity isn't just a part of our community but also a way to reach into the lives, hearts and minds of people we want to bring into our circle. People who are also tired of multiculturalism, crime and the loss of values who may be on the fringe of wanting to join our movement but don't know how or are afraid because of the negativity associated with the propaganda against us.Using Golden Dawn as a model is essential for us. They have proven to be able to recruit people, funding and support at the ballot box by serving the people in their community by supporting food drives, blood drives, protecting people and forcing open toll roads etc.We need to utilize this very effective strategy.. hence Aryan Storm! 
Quote:


Originally Posted by celticvikingaust


A powerful theme to emerge from this thread is the need for Whites to feel a sense of social solidarity. This is exactly what is lacking for us in our present societies; we no longer belong and are at the mercy of those who are calling the shots.
One of the reasons I am here (Apart from believing strongly in White Nationalism) is to find fellow travellers; I want to find the community to which I and my family belong. The social solidarity spoken about here is what has the potential to bring people along; bring them out into the open to stand with their brothers and sisters.
Excellent discussion!





"
Unlearn	5/12/2013	8:10 PM	"


Re: The way forward: Positive White Nationalism




Quote:


Originally Posted by NatetheWatcher


Social Solidarity isn't just a part of our community but also a way to reach into the lives, hearts and minds of people we want to bring into our circle. People who are also tired of multiculturalism, crime and the loss of values who may be on the fringe of wanting to join our movement but don't know how or are afraid because of the negativity associated with the propaganda against us.Using Golden Dawn as a model is essential for us. They have proven to be able to recruit people, funding and support at the ballot box by serving the people in their community by supporting food drives, blood drives, protecting people and forcing open toll roads etc.We need to utilize this very effective strategy.. hence Aryan Storm! 


Golden Dawn is still a reactionary party. They are mired in the blaming of others and are responsible for a great deal of thuggery, even if it is well intended. Being reactionary is always a weak position. Let others react to us. Let us move ahead with the success of our own people. I hope your project can take what it can from the Golden Dawn pagebook and evolve a better solution than they have.
Be careful: when people receive help but then are given speeches and propaganda, they tend to feel.... tricked. It leaves a bitter taste in their mouths. Like having a religious organization help you and then they want you to contibute to their church, etc. If you organize and do good in your community, which it sounds like you're trying to do, make sure you're truly doing it to help and not to try and get something from people. I'm not saying any of this to criticize, I just want all of us to be aware how people see actions. I do believe most WN's have pure intentions. They genuinely DO want to help their own survive, despite media portayal of us all being rabid animals. If I didn't believe that I wouldn't be here. I have faith that if we can come together and just tow the line straight ahead without getting distracted in these petty little wars and battles, we'll come out doing well.
We all look forward to hearing good things from your corner of the map, NatetheWatcher 



__________________
""I have pointed out before that multiculturalism cannot exist, except as several cultures living side by side in defined territories, where the laws of one culture do not apply in the territories of the others."" - Paul Belien of The Brussels Journal
""His true forefathers, the Gods, his true country, he never would have abandoned; nor would he have yielded to any man in obedience and submission"" - Epictetus
Never forget. http://en.wikipedia.org/wiki/1804_Haiti_Massacre


"
